season,month,0
45,1,38.233025
45,2,43.743843
45,3,54.134018
45,4,68.07088
45,5,86.31025
45,6,105.71644
45,7,131.03207
45,8,137.43445
45,9,157.97694
45,10,138.35562
45,11,75.83151
45,12,45.902565
46,1,39.02818
46,2,40.16055
46,3,52.1733
46,4,64.6316
46,5,79.61559
46,6,95.17282
46,7,113.306496
46,8,142.37218
46,9,195.27325
46,10,156.87323
46,11,93.076515
46,12,48.04939
47,1,46.322525
47,2,48.62278
47,3,59.32578
47,4,71.92048
47,5,92.29565
47,6,110.7416
47,7,125.63493
47,8,165.71375
47,9,238.16507
47,10,236.29903
47,11,107.23682
47,12,50.903534
48,1,40.1129
48,2,46.198795
48,3,55.98249
48,4,69.77742
48,5,85.38079
48,6,100.86746
48,7,110.706795
48,8,122.5914
48,9,132.53278
48,10,126.843895
48,11,94.52453
48,12,53.38308
49,1,40.161594
49,2,49.47425
49,3,61.23604
49,4,73.8068
49,5,88.298546
49,6,104.60554
49,7,119.25098
49,8,140.55661
49,9,164.57123
49,10,170.07307
49,11,116.22712
49,12,57.83951
50,1,45.64128
50,2,42.837124
50,3,58.270298
50,4,71.728424
50,5,88.44533
50,6,107.35707
50,7,133.28642
50,8,172.37888
50,9,232.94069
50,10,219.93217
50,11,133.9531
50,12,44.98246
51,1,45.964645
51,2,47.204716
51,3,59.60334
51,4,75.614975
51,5,94.20925
51,6,127.0221
51,7,166.93733
51,8,177.04448
51,9,240.52162
51,10,215.32413
51,11,91.65628
51,12,39.789845
52,1,38.6356
52,2,41.380276
52,3,53.089333
52,4,69.83055
52,5,105.49797
52,6,145.58278
52,7,197.66888
52,8,242.05684
52,9,244.20096
52,10,167.73238
52,11,87.50933
52,12,51.325375
53,1,40.086246
53,2,47.28831
53,3,55.496677
53,4,66.61707
53,5,82.32085
53,6,97.728226
53,7,120.11816
53,8,142.61348
53,9,193.99506
53,10,262.74847
53,11,111.560616
53,12,51.688194
